LinearRegression,SVR,KNeighborsRegressor,MLPRegressor,ExtraTreesRegressor,RandomForestRegressor,AdaBoostRegressor,GradientBoostingRegressor,LGBMRegressor,XGBRegressor
5.11368826017571,5.357794955516706,5.314656956671245,5.284255490191236,5.129369816293309,5.07703851925963,5.352112676056338,5.201068078635358,5.170445364541362,5.050502
5.785421317820032,5.305027839623208,5.68923908574592,5.600643613796068,5.634020618556702,5.585792896448224,5.723684210526316,5.6335886213256385,5.5225090373335926,5.545854
5.0486312428999405,5.252533988289566,5.3208711146492265,5.112865406454163,5.254470946180036,5.299649824912456,5.48019801980198,5.300846150677689,5.2739883619952455,5.1941724
5.150275271467888,5.10106162401316,5.369618890346731,5.137538437611125,5.152715936132805,5.154577288644322,5.337837837837838,5.144166016219471,5.019314680402664,4.8951654
5.3413695083645,5.492105411773684,5.4642388365997485,5.395198113108608,5.4333559731358925,5.453226613306653,5.394366197183099,5.4255509555903405,5.6914625531750245,5.4366317
5.509486305628972,5.05887040188712,5.2505514285160455,5.45120819540226,5.232903780068728,5.224112056028014,5.928571428571429,5.427721029655499,5.149697115641073,5.090529
5.329370918836119,4.964412813928165,4.992295332991247,4.847469245025512,4.932875143184422,5.127563781890945,5.227848101265823,5.06652543379766,4.873703021623335,4.919888
5.953326062728393,5.356434006851614,5.760569241707112,5.832818043040241,5.654982817869415,5.550275137568784,5.886363636363638,5.538723697655663,5.361887365890705,5.1859922
5.27717705548558,5.143705321725267,5.178663781306168,5.118359234061272,5.166688298716059,5.147073536768384,5.340974212034384,5.239772729247738,5.1580782589160945,5.070842
4.9944017031858285,5.36047454399716,5.462024669165722,5.026166449271644,5.43116104887633,5.250125062531263,5.444943820224719,5.339370026022853,5.323961315132592,5.5515523
5.28195450356816,5.251100734622402,5.449139547544184,5.2941037296172135,5.237787470261697,5.2586293146573295,5.446009389671364,5.497579133973535,5.449444493270159,5.514224
5.757021321152327,5.496285864252718,5.5384716614397265,5.691483987643648,5.5475062721120905,5.411705852926463,5.423529411764706,5.4923935991456245,5.3518942252632975,5.2109776
5.023444711302455,5.001756912357385,5.217365292397675,5.057102680024074,5.20592152605972,5.3951975987994025,5.354838709677419,5.434737707583704,5.514933000033113,5.319955
5.15996599762796,5.196621159348768,5.4605120008344885,5.275019272265249,5.299813968875855,5.3946973486743355,5.368421052631579,5.411680692935982,5.527604398666403,5.5313606
5.426996828052646,5.50785268763892,5.6236233533811975,5.4934745557167535,5.566140982131567,5.5797898949474725,5.273972602739726,5.532300053042888,5.481466407131472,5.433675
5.1591410415258165,5.046721881520927,5.368332746612828,5.171401482162149,5.093799928593742,5.089044522261131,5.290816326530612,5.041107969090618,5.066460827100776,5.088581
5.2214027587579634,5.639986997057638,5.263907784234776,5.289022634305998,5.1947020377258015,4.972486243121561,5.158653846153847,5.113067687692563,5.263414063535037,4.7272034
5.3381203855919415,5.356554955681582,5.521716928703941,5.213809275514127,5.33242344560847,5.393196598299148,5.46875,5.270009968798293,5.1909457821952785,5.2484837
5.119365585910087,5.307776114216893,5.033140096861073,4.917464808148816,5.220132509075434,5.3761880940470235,5.297101449275362,5.30268387567854,5.335135525808119,5.36055
5.683248362030648,5.638280778733866,5.701346038568591,5.669878374626943,5.428040323353606,5.476738369184592,5.493333333333332,5.648195755581582,5.524434526552538,5.56404
4.483401577806863,5.252709378045001,4.975375490404828,4.179297972119619,4.847079037800689,4.568784392196098,4.7844827586206895,4.781398323527204,4.767364853843931,4.5387654
5.6803209498186265,5.21972726815312,5.494334464796243,5.6905798418676605,5.462199312714776,5.608804402201102,5.922848664688427,5.74003735841117,5.6265668123589405,5.3409147
5.177141468154881,4.985672073831262,5.2649093788753545,5.235497324012414,5.156766440385301,5.052526263131567,5.4362416107382545,5.098125688988948,4.994680655221848,5.139903
5.9486166946224674,5.294508263118916,5.434626660785813,5.967163027662097,5.4734610583245775,5.626813406703352,5.50479233226837,5.502455631991488,5.525382262278867,5.508774
5.153746706483656,4.732556801979691,5.009894427526673,4.822766757053612,5.075087816377718,5.084542271135569,5.036529680365296,5.108600092988712,5.005008308526486,5.226118
5.537651993516922,5.231905129192025,5.486428891913868,5.371669253096446,5.401409223483208,5.319159579789895,5.3966480446927365,5.230428071843225,5.200843067049046,5.0247555
